,0,1
71344,1.060726594767673e-06,1.7956988280888324e-06
71402,-5.15891233369234e-06,3.1279445698284943e-06
71508,-9.11191488704908e-06,-9.634455708031042e-06
71563,5.1932219400522e-06,8.791248265497877e-06
71659,-8.845059203530566e-06,-8.772904566567245e-06
71674,2.4198349531908355e-05,-7.657832006498497e-06
71680,1.88640897278002e-05,3.1933160844376976e-05
71788,2.2957356920703554e-05,3.886207410514213e-05
72011,2.2360032112070787e-05,3.785092769901272e-05
72036,-9.099998590587345e-06,-9.595983606994e-06
72042,-8.845059203530566e-06,-8.772904566567245e-06
72048,5.1932219400522e-06,8.791248265497877e-06
72091,9.851036019208993e-05,0.00020875428948573686
72361,-1.2882113387111684e-05,-2.180649466309715e-05
591817,0.0002163692608425492,-2.9331514067435742e-05
591861,0.0002005391219815793,4.60190910896339e-05
592766,-1.2594118892152679e-05,-1.6470539314698223e-05
593380,9.45259534582956e-05,1.232784304120183e-05
593405,9.810527682248634e-05,2.4356514427217545e-05
593680,3.42520869284618e-06,5.798283735564484e-06
593690,9.21238557579471e-05,1.156445043077122e-05
593804,8.707794769693462e-05,9.960848326606053e-06
593828,2.209754641197927e-06,3.7407684569286536e-06
593932,1.2690228330896302e-05,3.112092707397456e-05
593943,1.6977085413249577e-05,2.8738841108841845e-05
593950,8.350642613806937e-05,0.00014136014668321518
594031,5.801276520589512e-05,7.238612002050028e-07
594168,9.951564739464433e-05,2.49431328378636e-05
594466,8.287328222061812e-05,0.00014028812681943947
594522,5.6540545705998514e-05,9.571205049043087e-05
595675,6.237494409651362e-05,0.00010558852450767008
595691,0.0001259632100823091,0.00021323078936071456
595722,3.7050428765124235e-05,6.271993568416929e-05
595799,9.98039469915174e-05,0.00016894836897503394
597860,2.485316051191739e-05,4.207137347741064e-05
598003,4.0652352898409134e-05,6.881615476515413e-05
598091,0.0002050080002466578,0.0003470364907498552
598106,8.056302341550006e-05,0.00013637670646394944
602801,8.430970284498159e-05,0.0001427196055997157
602810,9.510868718944405e-05,0.0001609994106647244
603334,3.4368074615349876e-05,5.81782312243205e-05
605522,0.0005348990221037427,0.0001522794971258014
611903,0.0003110908043811553,0.000526619916712534
611921,0.00014910437591388612,0.0002524066701283587
611922,0.0003110908043811553,0.000526619916712534
611940,0.0007696623074500926,0.00022688785181837479
612023,-1.2882096853054893e-05,-2.1806571993254245e-05
612359,-1.1542559589307105e-05,-1.95390830636139e-05
612423,2.3631666457254016e-05,5.376664544647645e-05
612429,1.6444612974929008e-05,3.8891453793492086e-05
612520,0.000189002859274253,4.23581916775805e-05
612592,-1.2546748639023642e-05,-1.559302320323219e-05
612633,0.0005300962294115439,0.0008973469392430764
612698,5.1420856537260585e-05,8.704501945892425e-05
612746,1.618736082374247e-05,3.8359013752319e-05
612847,-1.2882126230612597e-05,-2.180666797538585e-05
612869,3.5103998275521795e-05,7.751116535620691e-05
612911,0.0005300962294115439,0.0008973469392430764
612988,1.618736082374247e-05,3.8359013752319e-05
613161,3.2534574575214925e-05,5.507449041170705e-05
613318,-1.1892772385967866e-05,-3.47678301686341e-06
613599,1.1627198801330948e-05,1.9682542161441717e-05
613814,1.7729435778701118e-05,3.001236416475909e-05
613892,-1.0839609787771608e-05,-1.7579260344924925e-05
613998,1.230522853217266e-05,2.0830299242527166e-05
614000,2.8476049855883697e-05,4.820416688653297e-05
614051,2.0345809091134828e-05,3.444134493995657e-05
614328,-1.2758462061815646e-05,-1.9515477225425896e-05
614433,6.372263114462739e-05,0.000136743735396388
614435,0.0001449236906790249,0.00030480725378679056
614454,8.03274026495669e-05,0.00016689521321016376
614526,0.00010096665488165479,0.00020867920680438378
